Pedido;Codigo do Cliente;Cliente;Codigo Vendedor;Vendedor;Linha;Codigo Produto;Nome Produto;Categoria;Quantidade;Preco Unitario;Percentual Desconto;Valor de venda;Venda Total;Salario total
11634;38;Al Yankovic;9;Helen Brolin;1;72;Oyaki Kimono;Roupa Feminina;10;10,10152028;0;101,0152028;;
11665;38;Al Yankovic;9;Helen Brolin;1;13;Aino Shoes;Beb�s;10;23,50514787;0;235,0514787;;
11689;6;Herman Hinschler;8;Leif Shine;1;18;Deuce Shirt;Beb�s;10;22,69071628;0;226,9071628;;
11715;79;Heinz Disco;7;Tom Lindwall;1;65;Stretch Pants;Roupa Feminina;10;12,30957771;0;123,0957771;;
11798;63;George Essen;7;Tom Lindwall;1;69;Tube Socks;Esportivo;10;2,252022874;0;22,52022874;;
11805;15;Edson Arantes do Nascimento;9;Helen Brolin;1;46;Rodbye Troje;Beb�s;10;16,32935221;0;163,2935221;;
11810;75;Paul Smith;1;Frank Roll;1;63;Serve-Shirt;Roupa Feminina;10;20,11813678;0;201,1813678;;
11841;1;Albert von Einstein;8;Leif Shine;1;59;Rasta WCT;Esportivo;10;9,027890472;0;90,27890472;;
11903;17;Lars von Holstein;8;Leif Shine;1;41;Duck Shirt;Beb�s;10;10,65935204;0;106,5935204;;
11946;21;Romario do Sauza;2;Erik Presley;1;34;Baywatch Swimsuit;Praia;10;8,083980611;0;80,83980611;;
12136;80;Peloto Gomez;1;Frank Roll;1;1;Lenin Jeansshorts;Roupa Masculina;10;27,24091354;0;272,4091354;;
12143;87;Miiko Heikill�;7;Tom Lindwall;1;29;Davenport Shoes;Cal�ado Masculino;10;109,3649941;0;1093,649941;;
12217;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;5,259740075;0;52,59740075;;
12229;87;Miiko Heikill�;7;Tom Lindwall;1;14;Kool Sunglasses;Infantil;10;30,85454676;0;308,5454676;;
12248;28;Vitor Baiha;5;Ingrid Hendrix;1;24;Samba Soccer Socks;Roupa Masculina;10;5,765809497;0;57,65809497;;
12281;18;Pierre Chardin;6;Lennart Skoglund;1;10;Sapporoo Gloves;Beb�s;10;7,380282347;0;73,80282347;;
12301;30;El Cordobes;4;Joan Callins;1;64;WFS Shoes;Cal�ado Feminino;10;33,54510321;0;335,4510321;;
12343;26;Jeanne d�Anjou;7;Tom Lindwall;1;65;Stretch Pants;Roupa Feminina;10;12,47944577;0;124,7944577;;
12367;37;Robert Bolero;9;Helen Brolin;1;8;Tuxedo Top;Roupa Feminina;10;20,1843849;0;201,843849;;
12431;2;Paco el Maco;2;Erik Presley;1;32;Riviera Swimsuit;Praia;10;24,46404569;0;244,6404569;;
12477;23;Jaques Wilneuve;6;Lennart Skoglund;1;38;Le Baby Dress;Roupa Feminina;10;74,3154565;0;743,154565;;
12496;17;Lars von Holstein;7;Tom Lindwall;1;70;US-Master Jeans;Roupa Masculina;10;38,0867749;0;380,867749;;
12503;32;Ross The Boss;1;Frank Roll;1;43;Summer Shorts;Praia;10;13,12177587;0;131,2177587;;
12546;88;Mariah Erdi;2;Erik Presley;1;10;Sapporoo Gloves;Beb�s;10;7,601877524;0;76,01877524;;
12581;1;Albert von Einstein;8;Leif Shine;1;7;Runner Shoes;Infantil;10;41,11666698;0;411,1666698;;
12900;89;Alice Chain;9;Helen Brolin;1;53;Jack Flash Dress;Roupa Feminina;10;77,44560234;0;774,4560234;;
12904;56;Herman Schlusse;8;Leif Shine;1;39;Terence Top;Roupa Feminina;10;76,79703383;0;767,9703383;;
12917;12;Victoria Abril;2;Erik Presley;1;41;Duck Shirt;Beb�s;10;10,1433899;0;101,433899;;
12957;79;Heinz Disco;8;Leif Shine;1;44;Okkaba Skin Jackets;Roupa Feminina;10;70,54400668;0;705,4400668;;
12962;7;Julie Binoch�;4;Joan Callins;1;76;Halter Dress;Roupa Feminina;10;453,4459737;0;4534,459737;;
12981;79;Heinz Disco;7;Tom Lindwall;1;14;Kool Sunglasses;Infantil;10;23,00028425;0;230,0028425;;
13038;69;Emilio Ilegal;5;Ingrid Hendrix;1;30;Baby Dark Lounge Suit;Beb�s;10;29,48796887;0;294,8796887;;
13066;84;Pierre Robert;5;Ingrid Hendrix;1;52;Winter Boots;Cal�ado Feminino;10;81,18147611;0;811,8147611;;
13099;127;Staffan Blond;3;Rob Carsson;1;7;Runner Shoes;Infantil;10;41,3775126;0;413,775126;;
13137;30;El Cordobes;4;Joan Callins;1;64;WFS Shoes;Cal�ado Feminino;10;30,23631682;0;302,3631682;;
13170;48;Andrea Pamelsson;1;Frank Roll;1;68;Cap;Esportivo;10;13,30314511;0;133,0314511;;
13267;2;Paco el Maco;2;Erik Presley;1;32;Riviera Swimsuit;Praia;10;18,99080108;0;189,9080108;;
13332;17;Lars von Holstein;7;Tom Lindwall;1;70;US-Master Jeans;Roupa Masculina;10;31,88340716;0;318,8340716;;
13339;32;Ross The Boss;1;Frank Roll;1;35;LA. Shorts;Praia;10;5,156292884;0;51,56292884;;
13382;88;Mariah Erdi;2;Erik Presley;1;10;Sapporoo Gloves;Beb�s;10;6,145830764;0;61,45830764;;
13389;12;Victoria Abril;3;Rob Carsson;1;73;Mehmet-Napp;Beb�s;10;1,398683434;0;13,98683434;;
13391;63;George Essen;7;Tom Lindwall;1;24;Samba Soccer Socks;Roupa Masculina;10;5,009237419;0;50,09237419;;
13477;15;Edson Arantes do Nascimento;9;Helen Brolin;1;46;Rodbye Troje;Beb�s;10;15,77088484;0;157,7088484;;
13518;66;Anna Bella;6;Lennart Skoglund;1;24;Samba Soccer Socks;Roupa Masculina;10;4,462576657;0;44,62576657;;
13575;17;Lars von Holstein;8;Leif Shine;1;41;Duck Shirt;Beb�s;10;8,289799396;0;82,89799396;;
13580;32;Ross The Boss;1;Frank Roll;1;2;Mr2 Trousers;Roupa Masculina;10;18,40468914;0;184,0468914;;
13857;1;Albert von Einstein;8;Leif Shine;1;64;WFS Shoes;Cal�ado Feminino;10;40,03764144;0;400,3764144;;
13889;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;6,276076269;0;62,76076269;;
13896;28;Vitor Baiha;5;Ingrid Hendrix;1;59;Rasta WCT;Esportivo;10;7,708191049;0;77,08191049;;
13902;84;Pierre Robert;5;Ingrid Hendrix;1;52;Winter Boots;Cal�ado Feminino;10;74,91319568;0;749,1319568;;
13913;63;George Essen;7;Tom Lindwall;1;42;Walking Shoes;Cal�ado Feminino;10;14,4555777;0;144,555777;;
14019;25;Dieter K�ln;8;Leif Shine;1;53;Jack Flash Dress;Roupa Feminina;10;74,38897039;0;743,8897039;;
14027;18;Pierre Chardin;6;Lennart Skoglund;1;52;Winter Boots;Cal�ado Feminino;10;67,67445013;0;676,7445013;;
14091;59;Herbert Bernstorf;5;Ingrid Hendrix;1;31;Rossi Bermuda Shorts;Roupa Masculina;10;7,635669681;0;76,35669681;;
14129;33;Antonio Palmer Amer;9;Helen Brolin;1;10;Sapporoo Gloves;Beb�s;10;7,719383282;0;77,19383282;;
14234;18;Pierre Chardin;6;Lennart Skoglund;1;34;Baywatch Swimsuit;Praia;10;8,373250588;0;83,73250588;;
14292;30;El Cordobes;5;Ingrid Hendrix;1;50;Finnish Swimsuit;Praia;10;18,58937653;0;185,8937653;;
14318;75;Paul Smith;1;Frank Roll;1;63;Serve-Shirt;Roupa Feminina;10;19,333323;0;193,33323;;
14322;73;Preben Elkjaer;9;Helen Brolin;1;40;Duck Trousers;Beb�s;10;20,73147692;0;207,3147692;;
14454;21;Romario do Sauza;2;Erik Presley;1;34;Baywatch Swimsuit;Praia;10;10,27229477;0;102,7229477;;
14503;16;Ian Wright;2;Erik Presley;1;2;Mr2 Trousers;Roupa Masculina;10;18,57068597;0;185,7068597;;
14550;23;Jaques Wilneuve;6;Lennart Skoglund;1;40;Duck Trousers;Beb�s;10;15,09086754;0;150,9086754;;
14605;68;Carl Perry;6;Lennart Skoglund;1;73;Mehmet-Napp;Beb�s;10;1,064511209;0;10,64511209;;
14613;43;Klaus Tarantino;1;Frank Roll;1;11;Desperado Jeans;Roupa Masculina;10;32,6757062;0;326,757062;;
14705;37;Robert Bolero;9;Helen Brolin;1;40;Duck Trousers;Beb�s;10;19,13819357;0;191,3819357;;
14725;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;6,659102442;0;66,59102442;;
14745;73;Preben Elkjaer;3;Rob Carsson;1;33;Casual Boots;Esportivo;10;26,95535541;0;269,5535541;;
14806;5;Urra Gurra Aktersnurra;9;Helen Brolin;1;53;Jack Flash Dress;Roupa Feminina;10;55,51240546;0;555,1240546;;
14819;70;Akkurat Jonny;3;Rob Carsson;1;18;Deuce Shirt;Beb�s;10;25,87277109;0;258,7277109;;
14846;68;Carl Perry;6;Lennart Skoglund;1;65;Stretch Pants;Roupa Feminina;10;9,416022662;0;94,16022662;;
14859;7;Julie Binoch�;5;Ingrid Hendrix;1;59;Rasta WCT;Esportivo;10;8,401548623;0;84,01548623;;
14985;23;Jaques Wilneuve;6;Lennart Skoglund;1;38;Le Baby Dress;Roupa Feminina;10;85,54219472;0;855,4219472;;
15011;32;Ross The Boss;1;Frank Roll;1;38;Le Baby Dress;Roupa Feminina;10;102,477155;0;1024,77155;;
15059;79;Heinz Disco;7;Tom Lindwall;1;40;Duck Trousers;Beb�s;10;18,9079693;0;189,079693;;
15154;75;Paul Smith;1;Frank Roll;1;63;Serve-Shirt;Roupa Feminina;10;25,26879726;0;252,6879726;;
15155;23;Jaques Wilneuve;6;Lennart Skoglund;1;75;Bow tie;Roupa Masculina;10;8,044179789;0;80,44179789;;
15185;1;Albert von Einstein;8;Leif Shine;1;59;Rasta WCT;Esportivo;10;8,841451867;0;88,41451867;;
15206;27;Don Corleone;6;Lennart Skoglund;1;51;Summit Hiking Boots;Cal�ado Masculino;10;92,55304814;0;925,5304814;;
15224;91;Boniekk Wallessa;8;Leif Shine;1;62;Lace Shoes;Esportivo;10;32,31475028;0;323,1475028;;
15433;50;Marco Van Deum;5;Ingrid Hendrix;1;69;Tube Socks;Esportivo;10;1,875285295;0;18,75285295;;
15480;80;Peloto Gomez;1;Frank Roll;1;1;Lenin Jeansshorts;Roupa Masculina;10;20,11494341;0;201,1494341;;
15546;69;Emilio Ilegal;5;Ingrid Hendrix;1;53;Jack Flash Dress;Roupa Feminina;10;53,29757468;0;532,9757468;;
15561;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;5,580497446;0;55,80497446;;
15640;19;Greg Thatcher;3;Rob Carsson;1;28;RDL Suit;Infantil;10;47,78031894;0;477,8031894;;
15655;70;Akkurat Jonny;3;Rob Carsson;1;18;Deuce Shirt;Beb�s;10;26,95587769;0;269,5587769;;
15681;48;Andrea Pamelsson;1;Frank Roll;1;76;Halter Dress;Roupa Feminina;10;400,055028;0;4000,55028;;
15691;25;Dieter K�ln;8;Leif Shine;1;53;Jack Flash Dress;Roupa Feminina;10;70,80016411;0;708,0016411;;
15801;33;Antonio Palmer Amer;9;Helen Brolin;1;75;Bow tie;Roupa Masculina;10;9,269444082;0;92,69444082;;
15897;12;Victoria Abril;3;Rob Carsson;1;73;Mehmet-Napp;Beb�s;10;1,059876265;0;10,59876265;;
15899;63;George Essen;7;Tom Lindwall;1;24;Samba Soccer Socks;Roupa Masculina;10;4,624967972;0;46,24967972;;
15906;18;Pierre Chardin;6;Lennart Skoglund;1;34;Baywatch Swimsuit;Praia;10;7,328250526;0;73,28250526;;
15973;35;Nicolas Balines;3;Rob Carsson;1;64;WFS Shoes;Cal�ado Feminino;10;38,13444261;0;381,3444261;;
15985;15;Edson Arantes do Nascimento;9;Helen Brolin;1;46;Rodbye Troje;Beb�s;10;13,49809937;0;134,9809937;;
15990;75;Paul Smith;1;Frank Roll;1;63;Serve-Shirt;Roupa Feminina;10;20,8078778;0;208,078778;;
16070;12;Victoria Abril;9;Helen Brolin;1;33;Casual Boots;Esportivo;10;23,89672885;0;238,9672885;;
16076;27;Don Corleone;6;Lennart Skoglund;1;77;Wrap Skirt;Roupa Feminina;10;12,26187209;0;122,6187209;;
16175;16;Ian Wright;2;Erik Presley;1;72;Oyaki Kimono;Roupa Feminina;10;11,03400347;0;110,3400347;;
16397;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;6,131902264;0;61,31902264;;
16410;84;Pierre Robert;5;Ingrid Hendrix;1;68;Cap;Esportivo;10;12,53826564;0;125,3826564;;
16466;19;Greg Thatcher;3;Rob Carsson;1;21;Basket Shoes;Esportivo;10;10,22946386;0;102,2946386;;
16561;31;Anna Figo;3;Rob Carsson;1;60;Game Over T-Shirt;Esportivo;10;5,20462503;0;52,0462503;;
16589;19;Greg Thatcher;3;Rob Carsson;1;41;Duck Shirt;Beb�s;10;11,1572738;0;111,572738;;
16599;59;Herbert Bernstorf;5;Ingrid Hendrix;1;63;Serve-Shirt;Roupa Feminina;10;19,11465267;0;191,1465267;;
16611;2;Paco el Maco;2;Erik Presley;1;32;Riviera Swimsuit;Praia;10;20,64352221;0;206,4352221;;
16635;34;Joe do Pintho;3;Rob Carsson;1;31;Rossi Bermuda Shorts;Roupa Masculina;10;8,468856443;0;84,68856443;;
16650;38;Al Yankovic;9;Helen Brolin;1;72;Oyaki Kimono;Roupa Feminina;10;12,92438659;0;129,2438659;;
16705;6;Herman Hinschler;8;Leif Shine;1;18;Deuce Shirt;Beb�s;10;31,05492704;0;310,5492704;;
16726;88;Mariah Erdi;2;Erik Presley;1;10;Sapporoo Gloves;Beb�s;10;7,532221564;0;75,32221564;;
16767;80;Peloto Gomez;1;Frank Roll;1;54;Patamonia Fleece Jacket;Esportivo;10;38,65972872;0;386,5972872;;
16808;6;Herman Hinschler;8;Leif Shine;1;51;Summit Hiking Boots;Cal�ado Masculino;10;100,2405485;0;1002,405485;;
16821;15;Edson Arantes do Nascimento;9;Helen Brolin;1;46;Rodbye Troje;Beb�s;10;13,6777208;0;136,777208;;
16857;1;Albert von Einstein;8;Leif Shine;1;59;Rasta WCT;Esportivo;10;7,672140147;0;76,72140147;;
16861;30;El Cordobes;4;Joan Callins;1;24;Samba Soccer Socks;Roupa Masculina;10;4,070782492;0;40,70782492;;
16912;27;Don Corleone;6;Lennart Skoglund;1;77;Wrap Skirt;Roupa Feminina;10;11,66751846;0;116,6751846;;
16925;58;Francisca Font Barcel�;8;Leif Shine;1;11;Desperado Jeans;Roupa Masculina;10;25,91322446;0;259,1322446;;
10281;69;Emilio Ilegal;4;Joan Callins;1;24;Samba Soccer Socks;Roupa Masculina;6;4,18;0;25,08;;
10282;69;Emilio Ilegal;5;Ingrid Hendrix;1;30;Baby Dark Lounge Suit;Beb�s;6;26,38;0;158,28;;
10293;80;Peloto Gomez;1;Frank Roll;1;75;Bow tie;Roupa Masculina;6;7,6;0;45,6;;
10318;73;Preben Elkjaer;9;Helen Brolin;1;76;Halter Dress;Roupa Feminina;6;369,16;0;2214,96;;
10378;24;Linda Haglund;7;Tom Lindwall;1;71;Atles Lussekofta;Roupa Masculina;6;28,19;0;169,14;;
10387;73;Preben Elkjaer;9;Helen Brolin;1;28;RDL Suit;Infantil;6;47,51;0;285,06;;
10574;82;Mark Stark;1;Frank Roll;1;64;WFS Shoes;Cal�ado Feminino;6;35,48;0;212,88;;
10611;91;Boniekk Wallessa;8;Leif Shine;1;1;Lenin Jeansshorts;Roupa Masculina;6;19,75;0;118,5;;
10702;1;Albert von Einstein;7;Tom Lindwall;1;3;Chantell Shirt;Roupa Feminina;6;20,16;0;120,96;;
10728;62;Jorge Alemaio;3;Rob Carsson;1;40;Duck Trousers;Beb�s;6;17,82;0;106,92;;
10739;19;Greg Thatcher;9;Helen Brolin;1;36;Mehmet-Tr�ja;Beb�s;6;7,46;0;44,76;;
10749;32;Ross The Boss;1;Frank Roll;1;59;Rasta WCT;Esportivo;6;8,8;0;52,8;;
10775;73;Preben Elkjaer;3;Rob Carsson;1;10;Sapporoo Gloves;Beb�s;6;6,47;0;38,82;;
10821;75;Paul Smith;1;Frank Roll;1;51;Summit Hiking Boots;Cal�ado Masculino;6;105,15;0;630,9;;
10916;17;Lars von Holstein;8;Leif Shine;1;16;Wimbledon T-Shirt;Esportivo;6;10,11;0;60,66;;
10973;40;Philippe de Laval;5;Ingrid Hendrix;1;41;Duck Shirt;Beb�s;6;8,71;0;52,26;;
10987;19;Greg Thatcher;3;Rob Carsson;1;43;Summer Shorts;Praia;6;13,07;0;78,42;;
11004;73;Preben Elkjaer;9;Helen Brolin;1;26;Bike Helmet;Esportivo;6;29,68;0;178,08;;
11163;51;James Belucci;1;Frank Roll;1;64;WFS Shoes;Cal�ado Feminino;6;35,87355777;0;215,2413466;;
11268;48;Andrea Pamelsson;1;Frank Roll;1;28;RDL Suit;Infantil;6;44,33487462;0;266,0092477;;
11332;65;Malcolm X;3;Rob Carsson;1;20;Tennis Suit;Esportivo;6;92,18237208;0;553,0942325;;
11423;61;Giovanni Santhos;3;Rob Carsson;1;26;Bike Helmet;Esportivo;6;37,85938312;0;227,1562987;;
11445;18;Pierre Chardin;6;Lennart Skoglund;1;21;Basket Shoes;Esportivo;6;9,144343779;0;54,86606267;;
11451;79;Heinz Disco;8;Leif Shine;1;55;Feiss Fleece Trousers;Esportivo;6;49,80690551;0;298,841433;;
11460;19;Greg Thatcher;3;Rob Carsson;1;29;Davenport Shoes;Cal�ado Masculino;6;107,3974002;0;644,384401;;
11510;63;George Essen;7;Tom Lindwall;1;23;DSW Sandals;Cal�ado Feminino;6;12,08615114;0;72,51690687;;
11540;62;Jorge Alemaio;2;Erik Presley;1;4;Rossi Shorts;Roupa Feminina;6;24,83310493;0;148,9986296;;
11546;27;Don Corleone;6;Lennart Skoglund;1;47;Lundenhagen Boots;Cal�ado Masculino;6;28,94630158;0;173,6778095;;
11552;64;Emerson Fittipaldi;2;Erik Presley;1;51;Summit Hiking Boots;Cal�ado Masculino;6;94,27332649;0;565,6399589;;
11585;32;Ross The Boss;1;Frank Roll;1;59;Rasta WCT;Esportivo;6;10,09580475;0;60,57482848;;
11611;73;Preben Elkjaer;3;Rob Carsson;1;10;Sapporoo Gloves;Beb�s;6;5,687962357;0;34,12777414;;
11657;75;Paul Smith;1;Frank Roll;1;51;Summit Hiking Boots;Cal�ado Masculino;6;106,5445823;0;639,2674938;;
11658;82;Mark Stark;1;Frank Roll;1;70;US-Master Jeans;Roupa Masculina;6;33,83542917;0;203,012575;;
11746;90;Reijoo Haajanen;9;Helen Brolin;1;61;AAA Running Shoe;Esportivo;6;27,89761574;0;167,3856944;;
11762;2;Paco el Maco;3;Rob Carsson;1;19;Squash Shorts;Esportivo;6;10,66605752;0;63,99634512;;
11840;73;Preben Elkjaer;9;Helen Brolin;1;26;Bike Helmet;Esportivo;6;33,6498845;0;201,899307;;
11938;24;Linda Haglund;7;Tom Lindwall;1;71;Atles Lussekofta;Roupa Masculina;6;33,93040759;0;203,5824455;;
11986;29;Jusep del pep;5;Ingrid Hendrix;1;56;Slip-on Shoes;Cal�ado Feminino;6;36,76340787;0;220,5804472;;
12134;82;Mark Stark;1;Frank Roll;1;64;WFS Shoes;Cal�ado Feminino;6;36,91061495;0;221,4636897;;
12189;80;Peloto Gomez;1;Frank Roll;1;63;Serve-Shirt;Roupa Feminina;6;24,88755887;0;149,3253532;;
12207;18;Pierre Chardin;6;Lennart Skoglund;1;42;Walking Shoes;Cal�ado Feminino;6;16,21478181;0;97,28869083;;
12286;19;Greg Thatcher;3;Rob Carsson;1;39;Terence Top;Roupa Feminina;6;62,90650008;0;377,4390005;;
12308;79;Heinz Disco;7;Tom Lindwall;1;58;Onesy Dress;Beb�s;6;47,66485859;0;285,9891516;;
12418;82;Mark Stark;1;Frank Roll;1;13;Aino Shoes;Beb�s;6;29,1098729;0;174,6592374;;
12421;32;Ross The Boss;1;Frank Roll;1;59;Rasta WCT;Esportivo;6;7,880186153;0;47,28111692;;
12494;82;Mark Stark;1;Frank Roll;1;70;US-Master Jeans;Roupa Masculina;6;32,00891314;0;192,0534789;;
12500;59;Herbert Bernstorf;4;Joan Callins;1;20;Tennis Suit;Esportivo;6;73,16995059;0;439,0197035;;
12514;80;Peloto Gomez;1;Frank Roll;1;43;Summer Shorts;Praia;6;13,35605569;0;80,13633416;;
12530;40;Philippe de Laval;5;Ingrid Hendrix;1;7;Runner Shoes;Infantil;6;50,53151782;0;303,1891069;;
12588;17;Lars von Holstein;8;Leif Shine;1;32;Riviera Swimsuit;Praia;6;20,87037369;0;125,2222421;;
12596;5;Urra Gurra Aktersnurra;3;Rob Carsson;1;75;Bow tie;Roupa Masculina;6;7,699058993;0;46,19435396;;
12630;54;Don Gerardo;3;Rob Carsson;1;72;Oyaki Kimono;Roupa Feminina;6;13,7246396;0;82,34783763;;
12645;40;Philippe de Laval;5;Ingrid Hendrix;1;26;Bike Helmet;Esportivo;6;31,85841083;0;191,150465;;
12659;19;Greg Thatcher;3;Rob Carsson;1;43;Summer Shorts;Praia;6;11,703143;0;70,21885802;;
12676;73;Preben Elkjaer;9;Helen Brolin;1;76;Halter Dress;Roupa Feminina;6;442,8784427;0;2657,270656;;
12690;48;Andrea Pamelsson;1;Frank Roll;1;56;Slip-on Shoes;Cal�ado Feminino;6;38,40297915;0;230,4178749;;
12774;24;Linda Haglund;7;Tom Lindwall;1;71;Atles Lussekofta;Roupa Masculina;6;31,78483384;0;190,7090031;;
12841;5;Urra Gurra Aktersnurra;9;Helen Brolin;1;39;Terence Top;Roupa Feminina;6;61,11569767;0;366,694186;;
12844;79;Heinz Disco;8;Leif Shine;1;26;Bike Helmet;Esportivo;6;29,77253269;0;178,6351961;;
12914;80;Peloto Gomez;1;Frank Roll;1;24;Samba Soccer Socks;Roupa Masculina;6;4,363998707;0;26,18399224;;
13040;2;Paco el Maco;2;Erik Presley;1;70;US-Master Jeans;Roupa Masculina;6;33,02561846;0;198,1537107;;
13042;32;Ross The Boss;1;Frank Roll;1;62;Lace Shoes;Esportivo;6;32,40682747;0;194,4409648;;
13050;73;Preben Elkjaer;9;Helen Brolin;1;76;Halter Dress;Roupa Feminina;6;340,6767817;0;2044,06069;;
13123;79;Heinz Disco;8;Leif Shine;1;55;Feiss Fleece Trousers;Esportivo;6;47,44585144;0;284,6751086;;
13128;42;Joe Barry;1;Frank Roll;1;24;Samba Soccer Socks;Roupa Masculina;6;5,293846122;0;31,76307673;;
13181;19;Greg Thatcher;9;Helen Brolin;1;43;Summer Shorts;Praia;6;13,26925399;0;79,61552395;;
